STATE00,COUNTY00,TRACT00,GEOID00,POP00,HU00,PART00,AREA00,AREALAND00,STATE10,COUNTY10,TRACT10,GEOID10,POP10,HU10,PART10,AREA10,AREALAND10,AREAPT,AREALANDPT,AREAPCT00PT,AREALANDPCT00PT,AREAPCT10PT,AREALANDPCT10PT,POP10PT,POPPCT00,POPPCT10,HU10PT,HUPCT00,HUPCT10
12,47,980200,12047980200,4835,2309,P,413623242,411134750,13,185,11600,13185011600,3770,1822,P,83478423,77333186,10273,10273,0,0,0.01,0.01,0,0,0,0,0,0
13,1,950400,13001950400,1476,773,P,389388609,388817753,13,1,950500,13001950500,3864,1789,P,375278056,372943420,77639,77639,0.02,0.02,0.02,0.02,0,0,0,0,0,0
13,1,950400,13001950400,1476,773,P,389388609,388817753,13,229,960100,13229960100,2902,1269,P,274862955,255753240,424,383,0,0,0,0,0,0,0,0,0,0
13,1,950400,13001950400,1476,773,P,389388609,388817753,13,229,960200,13229960200,1688,738,P,215411915,196136327,1180,1180,0,0,0,0,0,0,0,0,0,0
13,3,960200,13003960200,5053,2035,P,403532930,394823063,13,65,970100,13065970100,5239,2238,P,779319407,739355233,48100,39945,0.01,0.01,0.01,0.01,0,0,0,0,0,0
13,3,960300,13003960300,1245,536,P,231641794,229694942,13,65,970100,13065970100,5239,2238,P,779319407,739355233,3490,3490,0,0,0,0,0,0,0,0,0,0
13,3,960300,13003960300,1245,536,P,231641794,229694942,13,299,950100,13299950100,1603,731,P,351510233,347337183,816,816,0,0,0,0,0,0,0,0,0,0
13,3,960300,13003960300,1245,536,P,231641794,229694942,13,299,950200,13299950200,7718,2459,P,330939903,327792645,1858,1858,0,0,0,0,0,0,0,0,0,0
13,5,970100,13005970100,3053,1317,P,377271289,348243714,13,5,970201,13005970201,4233,1839,P,167470244,149174876,74350,0,0.02,0,0.04,0,0,0,0,0,0,0
13,5,970100,13005970100,3053,1317,P,377271289,348243714,13,229,960200,13229960200,1688,738,P,215411915,196136327,81296,72443,0.02,0.02,0.04,0.04,0,0,0,0,0,0
13,5,970200,13005970200,8039,3483,P,362872758,321359586,13,299,950100,13299950100,1603,731,P,351510233,347337183,33874,29302,0.01,0.01,0.01,0.01,0,0,0,0,0,0
13,7,960100,13007960100,2198,1030,P,484802903,470598792,13,7,960200,13007960200,1253,622,P,419441483,415036133,42862,42862,0.01,0.01,0.01,0.01,0,0,0,0,0,0
13,7,960200,13007960200,1253,622,P,419461201,415031154,13,7,960100,13007960100,2198,1030,P,484822621,470593813,62580,37883,0.01,0.01,0.01,0.01,0,0,0,0,0,0
13,9,970100,13009970100,5400,2584,P,223305134,212526342,13,9,970200,13009970200,6883,3448,P,36077397,28733007,2249,0,0,0,0.01,0,0,0,0,0,0,0
13,11,980100,13011980100,5208,2201,P,165512310,164677775,13,119,890200,13119890200,5754,2668,P,273356163,270924206,1838,1838,0,0,0,0,0,0,0,0,0,0
13,11,980100,13011980100,5208,2201,P,165512310,164677775,13,137,400,13137000400,4774,2041,P,74992379,74093873,223,223,0,0,0,0,0,0,0,0,0,0
13,11,980100,13011980100,5208,2201,P,165512310,164677775,13,137,602,13137000602,8009,3204,P,68152548,67689022,8899,8899,0.01,0.01,0.01,0.01,0,0,0,0,0,0
13,11,980100,13011980100,5208,2201,P,165512310,164677775,13,139,101,13139000101,5436,2193,P,94308104,92593619,2090,2090,0,0,0,0,0,0,0,0,0,0
13,11,980200,13011980200,5017,2112,P,194119151,193333836,13,119,890200,13119890200,5754,2668,P,273356163,270924206,61471,50978,0.03,0.03,0.02,0.02,0,0,0,0,0,0
13,11,980300,13011980300,4366,1834,P,119663940,117709616,13,139,101,13139000101,5436,2193,P,94308104,92593619,2850,2850,0,0,0,0,0,0,0,0,0,0
13,11,980300,13011980300,4366,1834,P,119663940,117709616,13,139,102,13139000102,3946,1611,P,80433938,79420924,123,123,0,0,0,0,0,0,0,0,0,0
13,11,980400,13011980400,3804,1448,P,126525802,125437587,13,119,890300,13119890300,3245,1478,P,158235290,156558423,6649,6649,0.01,0.01,0,0,0,0,0,0,0,0
13,11,980400,13011980400,3804,1448,P,126525802,125437587,13,157,10300,13157010300,5094,2163,P,48507616,47998245,5170,4457,0,0,0.01,0.01,0,0,0,0,0,0
13,13,180201,13013180201,6929,2957,P,18063289,17893390,13,13,180302,13013180302,5749,2209,P,30382868,29769551,716,716,0,0,0,0,0,0,0,0,0,0
13,13,180201,13013180201,6929,2957,P,18063289,17893390,13,13,180303,13013180303,4229,1595,P,28748774,28111590,3394,3394,0.02,0.02,0.01,0.01,0,0,0,0,0,0
13,13,180202,13013180202,5603,2229,P,21776905,20737133,13,13,180205,13013180205,4042,1745,P,11026698,10896793,1455,1455,0.01,0.01,0.01,0.01,0,0,0,0,0,0
13,13,180300,13013180300,12040,4601,P,80759545,79285939,13,157,10102,13157010102,5819,2212,P,57552288,56893846,36,0,0,0,0,0,0,0,0,0,0,0
13,15,960100,13015960100,11201,4399,P,313852434,313381508,13,129,970900,13129970900,6929,2771,P,162358395,161994628,1423,1423,0,0,0,0,0,0,0,0,0,0
13,15,960200,13015960200,10802,4320,P,176555855,176270447,13,129,970700,13129970700,4445,1812,P,92304326,91716097,4228,4228,0,0,0,0,0,0,0,0,0,0
13,15,960802,13015960802,3316,1337,P,18131284,13867055,13,15,960801,13015960801,3579,1397,P,24168125,19483154,33,33,0,0,0,0,0,0,0,0,0,0
13,15,961000,13015961000,8415,2917,P,179863764,177413571,13,15,960300,13015960300,6647,2511,P,159625738,158881346,10010,0,0.01,0,0.01,0,0,0,0,0,0,0
13,17,960100,13017960100,2286,1100,P,301631660,297130030,13,69,10100,13069010100,3553,1628,P,330568073,320347450,10240,10240,0,0,0,0,0,0,0,0,0,0
13,17,960500,13017960500,5825,2670,P,78738512,76954815,13,155,950200,13155950200,7153,2949,P,626745563,613088760,3828,3828,0,0,0,0,0,0,0,0,0,0
13,19,970600,13019970600,3500,1551,P,128396735,126140966,13,185,10101,13185010101,4321,1702,P,60320756,59321760,33425,33425,0.03,0.03,0.06,0.06,0,0,0,0,0,0
13,21,10800,13021010800,1315,1058,P,1804974,1750118,13,21,11900,13021011900,2167,1225,P,3552277,3441259,115283,111237,6.39,6.36,3.25,3.23,0,0,0,0,0,0
13,21,10800,13021010800,1315,1058,P,1804974,1750118,13,21,13700,13021013700,3233,1392,P,3167172,3135513,398,398,0.02,0.02,0.01,0.01,0,0,0,0,0,0
13,21,11000,13021011000,4972,2741,P,14389073,14003939,13,21,11900,13021011900,2167,1225,P,3552277,3441259,387534,282312,2.69,2.02,10.91,8.2,0,0,0,0,0,0
13,21,11000,13021011000,4972,2741,P,14389073,14003939,13,21,12000,13021012000,4330,2091,P,8752953,8520349,7299,7299,0.05,0.05,0.08,0.09,0,0,0,0,0,0
13,21,11000,13021011000,4972,2741,P,14389073,14003939,13,21,13800,13021013800,1931,892,P,4643655,4402171,2527,2527,0.02,0.02,0.05,0.06,0,0,0,0,0,0
13,21,11100,13021011100,2240,1263,P,3837687,3757013,13,21,11701,13021011701,2539,1009,P,4222535,4217290,41,41,0,0,0,0,0,0,0,0,0,0
13,21,11300,13021011300,1135,408,P,3897319,3655835,13,21,11000,13021011000,4972,2741,P,14225604,13859553,996,996,0.03,0.03,0.01,0.01,0,0,0,0,0,0
13,21,11300,13021011300,1135,408,P,3897319,3655835,13,21,13900,13021013900,2070,976,P,98303860,95858865,56806,56806,1.46,1.55,0.06,0.06,0,0,0,0,0,0
13,21,12000,13021012000,4330,2091,P,8982612,8662119,13,21,11000,13021011000,4972,2741,P,14225604,13859553,232895,146756,2.59,1.69,1.64,1.06,0,0,0,0,0,0
13,21,12000,13021012000,4330,2091,P,8982612,8662119,13,21,11800,13021011800,3625,1861,P,4537262,4527992,2249,2249,0.03,0.03,0.05,0.05,0,0,0,0,0,0
